State,State,Total citizen,Total  ,Percent registered (18+),moe_reg_total,Total  ,Percent voted (18+),moe_vot_total
WEST VIRGINIA,.18 to 24,157,89,56.4,6.5,72,45.9,6.5
WEST VIRGINIA,.25 to 44,468,294,62.7,3.7,244,52.1,3.8
WEST VIRGINIA,.45 to 64,501,347,69.2,3.4,311,61.9,3.6
WEST VIRGINIA,.65 to 74,134,99,73.9,6.2,92,68.6,6.6
WEST VIRGINIA,.75+,133,107,80,5.7,78,58.8,7
WISCONSIN,.Total,"3,928","3,225",78.2,1.6,"3,010",73,1.8
WISCONSIN,.18 to 24,478,330,63,5.4,301,57.5,5.5
WISCONSIN,.25 to 44,"1,427","1,133",73.2,2.9,"1,059",68.4,3
WISCONSIN,.45 to 64,"1,341","1,165",85.7,2.4,"1,103",81.2,2.7
WISCONSIN,.65 to 74,353,314,86.3,4.6,295,81.2,5.2
WISCONSIN,.75+,329,284,85.5,4.9,252,75.8,6
WYOMING,.Total,370,265,71,2.1,247,66.3,2.2
WYOMING,.18 to 24,50,28,(B),(B),24,(B),(B)
WYOMING,.25 to 44,123,83,66.2,3.8,76,61.1,3.9
WYOMING,.45 to 64,138,108,77.2,3.2,104,74.5,3.3
WYOMING,.65 to 74,32,25,(B),(B),24,(B),(B)
WYOMING,.75+,26,21,(B),(B),19,(B),(B)
